Name,City,State,Zip,County,IsPrivate,Level,LowGrade,HighGrade,RankStars,PupilTeacherRatio
Stanley Elementary,Stanley,VA,22851,Page County,False,Elementary,PK,5,2,13.1
Plains Elementary,Timberville,VA,22853,Rockingham County,False,Elementary,PK,5,1,14.1
Agnor-Hurt Elementary,Charlottesville,VA,22901,Albemarle County,False,Elementary,PK,5,1,11.8
Blue Ridge Juvenile Detention Home,Charlottesville,VA,22902,Albemarle County,False,,,,n/a,n/a
Buford Middle,Charlottesville,VA,22903,Charlottesville city,False,Middle,7,8,1,12.1
Albemarle Montessori Children's Community,Charlottesville,VA,22911,Albemarle County,True,Private,PK,5,n/a,3.0
North Branch School,Afton,VA,22920,Nelson County,True,Private,PK,8,n/a,6.3
Tye River Elementary,Arrington,VA,22922,Nelson County,False,Elementary,PK,5,3,13.1
Brownsville Elementary,Crozet,VA,22932,Albemarle County,False,Elementary,PK,5,4,14.9
Blue Ridge School,St George,VA,22935,Greene County,True,Private,9,12,n/a,4.7
Broadus Wood Elementary,Earlysville,VA,22936,Albemarle County,False,Elementary,PK,5,4,13.3
Shenandoah Valley Governor's School,Fishersville,VA,22939,Augusta County,False,,,,n/a,Unknown
Free Union Country School,Free Union,VA,22940,Albemarle County,True,Private,PK,5,n/a,6.2
Gordon-Barbour Elementary,Gordonsville,VA,22942,Orange County,False,Elementary,PK,5,3,11.8
Little Keswick School,Keswick,VA,22947,Albemarle County,True,Private,5,11,n/a,4.8
Nelson County High,Lovingston,VA,22949,Nelson County,False,High,9,12,4,11.1
Red Hill Elementary,North Garden,VA,22959,Albemarle County,False,Elementary,PK,5,0,11.4
Grymes Memorial School,Orange,VA,22960,Orange County,True,Private,PK,8,n/a,n/a
Blue Ridge Governor's School,Palmyra,VA,22963,Fluvanna County,False,,,,n/a,Unknown
Ruckersville Elementary,Ruckersville,VA,22968,Greene County,False,Elementary,K,5,2,12.9
Alternative Education Center,Stanardsville,VA,22973,Greene County,False,,,,n/a,n/a
Lafayette School,Troy,VA,22974,Fluvanna County,True,Private,5,11,n/a,3.1
Appalachian Christian School,Waynesboro,VA,22980,Waynesboro city,True,Private,K,12,n/a,8.8
Woodberry Forest School,Woodberry Forest,VA,22989,Madison County,True,Private,9,12,n/a,6.6
Amelia Academy,Amelia Court House,VA,23002,Amelia County,True,Private,PK,12,n/a,7.7
Angeldeer Learning Center,Ashland,VA,23005,Hanover County,True,Private,PK,K,n/a,n/a
Beaverdam Elementary,Beaverdam,VA,23015,Hanover County,False,Elementary,PK,5,3,13.9
Aylett Country Day School,Bruington,VA,23023,Essex County,True,Private,PK,8,n/a,6.7
Piedmont Christian School,Bumpass,VA,23024,Louisa County,True,Private,PK,12,n/a,7.5
"Astrolabe Academy, LLC",Charles City,VA,23030,Charles City County,True,Private,10,10,n/a,1.1
Christchurch School,Christchurch,VA,23031,Middlesex County,True,Private,9,12,n/a,8.3
Randolph Elementary,Crozier,VA,23039,Goochland County,False,Elementary,PK,5,4,13.8
Bear Creek Academy,Cumberland,VA,23040,Cumberland County,True,Private,8,12,n/a,2.5
Carysbrook Elementary,Fork Union,VA,23055,Fluvanna County,False,Elementary,3,4,2,13.4
Colonial Trail Elementary,Glen Allen,VA,23059,Henrico County,False,Elementary,PK,5,5,17.2
Academy At Virginia Randolph,Glen Allen,VA,23060,Henrico County,False,,,,n/a,0.0
Bethel Elementary,Gloucester,VA,23061,Gloucester County,False,Elementary,PK,5,3,13.4
Byrd Elementary,Goochland,VA,23063,Goochland County,False,Elementary,PK,5,3,12.3
Salem Christian School,Gum Spring,VA,23065,Louisa County,True,Private,PK,12,n/a,6.6
Abingdon Elementary,Hayes,VA,23072,Gloucester County,False,Elementary,PK,5,3,12.9
Adult Education Center,Highland Springs,VA,23075,Henrico County,False,,,,n/a,n/a
Amelia-Nottoway Vocational Center,Jetersville,VA,23083,Nottoway County,False,,,,n/a,Unknown
Central High,King and Queen Court House,VA,23085,King and Queen County,False,High,7,12,1,9.0
Acquinton Elementary,King William,VA,23086,King William County,False,Elementary,3,5,2,15.4
Middlesex Elementary,Locust Hill,VA,23092,Middlesex County,False,Elementary,PK,5,2,13.0
Grace Christian Academy,Louisa,VA,23093,Louisa County,True,Private,K,12,n/a,4.5
Adams International School,Maidens,VA,23102,Goochland County,True,Private,PK,8,n/a,7.3
Mathews Elementary,Mathews,VA,23109,Mathews County,False,Elementary,PK,4,2,10.9
King & Queen Elementary,Mattaponi,VA,23110,King and Queen County,False,Elementary,PK,6,2,14.8
Battlefield Park Elementary,Mechanicsville,VA,23111,Hanover County,False,Elementary,PK,5,3,14.4
Academy 360,Midlothian,VA,23112,Chesterfield County,False,,,,n/a,0.0
Bettie Weaver Elementary,Midlothian,VA,23113,Chesterfield County,False,Elementary,PK,5,5,15.6
Evergreen Elementary,Midlothian,VA,23114,Chesterfield County,False,Elementary,PK,5,2,14.2
Atlee Christian Academy,Mechanicsville,VA,23116,Hanover County,True,Private,PK,5,n/a,14.1
Jouett Elementary,Mineral,VA,23117,Louisa County,False,Elementary,PK,5,3,Unknown
